Compound,Negative,Neutral,Positive,Source_Account,Timestamp,Tweets,Tweets_Ago
0.4404,0.0,0.828,0.172,@BBC,Sun Jan 07 18:40:59 +0000 2018,RT @DavidGarval: More than 230000 signaturas supporting @BBC @TheEconomist @CNN @FinancialTimes @USATODAY @Frankfurter @dailytelegraph @gua…,1
0.2263,0.177,0.651,0.172,@BBC,Sun Jan 07 18:40:47 +0000 2018,"@qikipedia Not in the Netherlands, unfortunately 😭 (cc would be happy to pay for unlimited online access, @BBC)",2
0.0,0.0,1.0,0.0,@BBC,Sun Jan 07 18:40:44 +0000 2018,"政治家とは？個人の顔なし@NOSUKE0607: 「与党からの参加者はゼロ」
これが何を意味するのか？さあみんなで考えよう。 https://t.co/t6YYB0R0pZ　@miyadai   @bbc  @tim1134  #クロス　@iwakamiyasumi　#文化放送",3
0.4215,0.0,0.823,0.177,@BBC,Sun Jan 07 18:40:32 +0000 2018,"RT @BBC: What's the true scale of the global trade in humans? 
#McMafia https://t.co/3X7YDsabMv",4
0.4215,0.0,0.517,0.483,@BBC,Sun Jan 07 18:40:14 +0000 2018,@BBC Donald Trump lol,5
0.0,0.0,1.0,0.0,@BBC,Sun Jan 07 18:40:04 +0000 2018,@BBC @guardian @NPR @PBS @maddow @funder @USATODAY @WSJ @maddow @azcentral Just as Carlos Salinas de Gortari went a… https://t.co/A6BnodklMd,6
0.0,0.0,1.0,0.0,@BBC,Sun Jan 07 18:39:49 +0000 2018,"@BBC @BBCCarrie has quit as China Editor because she’s had enough of the #BBC #paygap 

We see you, you stale pale… https://t.co/YA5QX2cZIX",7
0.5562,0.298,0.088,0.614,@BBC,Sun Jan 07 18:39:41 +0000 2018,@BBC Wow. Truly disgusting !,8
0.0,0.0,1.0,0.0,@BBC,Sun Jan 07 18:39:06 +0000 2018,"@BlaineCoughlan @BBC @bbcdoctorwho @DWTheFanShow @BBCOne @BBCTwo @bbcthree @BBCFOUR 1. The Aztecs
2. The Invasion
3… https://t.co/hrNM8OhX1A",9
0.6249,0.0,0.494,0.506,@BBC,Sun Jan 07 18:39:03 +0000 2018,@MockTheWeek @BBC That's great news,10
0.0,0.0,1.0,0.0,@BBC,Sun Jan 07 18:38:51 +0000 2018,"RT @BBC: Tonight, David Attenborough attempts to animate the life of a 200-million-year-old ichthyosaur. 🌊 

Attenborough and the Sea Drago…",11
-0.6901,0.289,0.711,0.0,@BBC,Sun Jan 07 18:38:44 +0000 2018,RT @miss_l_locket: @aev1609 @Teel18 @campbellclaret @Blackro12653624 @BBCNews @BBC V v sad. They have completely lost their journalistic ed…,12
0.8225,0.137,0.43,0.434,@BBC,Sun Jan 07 18:38:43 +0000 2018,@BBC @BBCiPlayer Congrats @mrneilforsyth on a wonderful writing job brilliantly executed......and nae bad for a Dun… https://t.co/QPt5CgcD0m,13
-0.596,0.244,0.756,0.0,@BBC,Sun Jan 07 18:38:35 +0000 2018,@GaryLineker If the @BBC is so pc why can’t they replace this idiot,14
0.0,0.0,1.0,0.0,@BBC,Sun Jan 07 18:38:34 +0000 2018,"RT @CyberHibby: @Leahcimnosined @ariyana69 @BBC @A50Challenge https://t.co/5LYF7LQPkv

Chomsky sighs imperceptibly and as if explaining to…",15
0.6369,0.0,0.724,0.276,@BBC,Sun Jan 07 18:38:33 +0000 2018,RT @BBC: Budget Italian feasts the whole family will love. 🍝 https://t.co/MtSlOvp6m6 https://t.co/8fCY2ToBM6,16
0.0,0.0,1.0,0.0,@BBC,Sun Jan 07 18:38:24 +0000 2018,"RT @BBC: Tonight, David Attenborough attempts to animate the life of a 200-million-year-old ichthyosaur. 🌊 

Attenborough and the Sea Drago…",17
-0.5994,0.253,0.679,0.068,@BBC,Sun Jan 07 18:38:13 +0000 2018,"RT @raju: One Of The @BBC's Top Female Journalists Has Quit, Accusing The Corporation Of Having A ""Secretive And Illegal"" Pay Culture https…",18
0.3975,0.051,0.829,0.12,@BBC,Sun Jan 07 18:38:04 +0000 2018,RT @campbellclaret: Surely she will also be allowed to trot out a few Brexit platitudes without much challenge? As is @bbc mode https://t.c…,19
0.4215,0.0,0.823,0.177,@BBC,Sun Jan 07 18:38:01 +0000 2018,"RT @BBC: What's the true scale of the global trade in humans? 
#McMafia https://t.co/3X7YDsabMv",20
0.0,0.0,1.0,0.0,@BBC,Sun Jan 07 18:38:01 +0000 2018,Threaders at the endless stream of singing shows when do aspiring musicians get the show off their chops on prime time TV @BBCTwo @ITV @BBC,21
0.3802,0.0,0.776,0.224,@BBC,Sun Jan 07 18:37:56 +0000 2018,@BBC please make this happen! #DavidAttenborough #pokemon #makeawish #pokedex https://t.co/9fqzoSOydI,22
0.0,0.0,1.0,0.0,@BBC,Sun Jan 07 18:37:51 +0000 2018,"RT @BBC: Tonight, David Attenborough attempts to animate the life of a 200-million-year-old ichthyosaur. 🌊 

Attenborough and the Sea Drago…",23
0.4215,0.0,0.823,0.177,@BBC,Sun Jan 07 18:37:49 +0000 2018,"RT @BBC: What's the true scale of the global trade in humans? 
#McMafia https://t.co/3X7YDsabMv",24
0.0,0.0,1.0,0.0,@BBC,Sun Jan 07 18:37:38 +0000 2018,"@BBC When the Doctor regenerates, what happens if the new Doctor's feet are too big for the old Doctor's shoes?",25
0.0,0.0,1.0,0.0,@BBC,Sun Jan 07 18:37:27 +0000 2018,"RT @BBC: Tonight, David Attenborough attempts to animate the life of a 200-million-year-old ichthyosaur. 🌊 

Attenborough and the Sea Drago…",26
0.0,0.0,1.0,0.0,@BBC,Sun Jan 07 18:37:18 +0000 2018,"RT @BBC: Tonight, David Attenborough attempts to animate the life of a 200-million-year-old ichthyosaur. 🌊 

Attenborough and the Sea Drago…",27
-0.5994,0.253,0.679,0.068,@BBC,Sun Jan 07 18:37:13 +0000 2018,"RT @raju: One Of The @BBC's Top Female Journalists Has Quit, Accusing The Corporation Of Having A ""Secretive And Illegal"" Pay Culture https…",28
0.69,0.0,0.513,0.487,@BBC,Sun Jan 07 18:37:04 +0000 2018,@tom_bondy @BBC Def good and you will like!,29
0.3182,0.0,0.827,0.173,@BBC,Sun Jan 07 18:37:01 +0000 2018,When is @TheFourOnFOX airing in the UK please @SkyUK @BBC @ITV @virginmedia ?,30
0.0,0.0,1.0,0.0,@BBC,Sun Jan 07 18:36:34 +0000 2018,@pbakes224 @BBC will give it a go,31
0.0,0.0,1.0,0.0,@BBC,Sun Jan 07 18:36:30 +0000 2018,"RT @BBC: Tonight, David Attenborough attempts to animate the life of a 200-million-year-old ichthyosaur. 🌊 

Attenborough and the Sea Drago…",32
0.4404,0.0,0.791,0.209,@BBC,Sun Jan 07 18:36:12 +0000 2018,Time to relax and watching @BBC #countryfile I❤ that program #nature #wildlife,33
0.4215,0.0,0.823,0.177,@BBC,Sun Jan 07 18:36:11 +0000 2018,"RT @BBC: What's the true scale of the global trade in humans? 
#McMafia https://t.co/3X7YDsabMv",34
0.0,0.0,1.0,0.0,@BBC,Sun Jan 07 18:36:02 +0000 2018,"RT @CyberHibby: @Leahcimnosined @ariyana69 @BBC @A50Challenge https://t.co/5LYF7LQPkv

Chomsky sighs imperceptibly and as if explaining to…",35
0.0,0.0,1.0,0.0,@BBC,Sun Jan 07 18:35:59 +0000 2018,"RT @fahad_a_i: يسخر شعب #إيران المظلوم من قناة ال @BBC لوقوفها مع حكام #تهران #طهران ويطلقون عليها أسم "" آية اللهBBC
#مظاهرات_سراسري
#مظاهر…",36
0.4019,0.0,0.769,0.231,@BBC,Sun Jan 07 18:35:57 +0000 2018,RT @TeslaMemory: Nikola Tesla's Electric Dreams @BBC 4 Radio - #Tesla https://t.co/D8POhP3yJ7,37
0.0,0.0,1.0,0.0,@BBC,Sun Jan 07 18:35:41 +0000 2018,"RT @BBC: Tonight, David Attenborough attempts to animate the life of a 200-million-year-old ichthyosaur. 🌊 

Attenborough and the Sea Drago…",38
0.0,0.0,1.0,0.0,@BBC,Sun Jan 07 18:35:40 +0000 2018,"RT @BBC: Tonight, David Attenborough attempts to animate the life of a 200-million-year-old ichthyosaur. 🌊 

Attenborough and the Sea Drago…",39
0.4019,0.0,0.722,0.278,@BBC,Sun Jan 07 18:35:40 +0000 2018,Nikola Tesla's Electric Dreams @BBC 4 Radio - #Tesla https://t.co/D8POhP3yJ7,40
0.5994,0.0,0.822,0.178,@BBC,Sun Jan 07 18:35:38 +0000 2018,"RT @BBC: Tonight, @ChrisGPackham investigates planet Earth's super predator. The Real T Rex with Chris Packham. 9pm on @BBCTwo. https://t.c…",41
-0.2023,0.101,0.899,0.0,@BBC,Sun Jan 07 18:35:19 +0000 2018,Just received an incredibly patronising email explaining the concept of journalism from @BBC after complaining abou… https://t.co/rFQasc1O6i,42
0.0,0.0,1.0,0.0,@BBC,Sun Jan 07 18:35:12 +0000 2018,"@BBC @BBCOne I knew trump was old, but didnt think he passed the 200 mark.",43
0.5994,0.0,0.647,0.353,@BBC,Sun Jan 07 18:34:53 +0000 2018,RT @BBC: Farewell 2017. Thank you for giving us this. 😂 https://t.co/tIUAzNnIUU,44
0.5994,0.0,0.647,0.353,@BBC,Sun Jan 07 18:34:40 +0000 2018,RT @BBC: Farewell 2017. Thank you for giving us this. 😂 https://t.co/tIUAzNnIUU,45
0.4215,0.0,0.823,0.177,@BBC,Sun Jan 07 18:34:39 +0000 2018,"RT @BBC: What's the true scale of the global trade in humans? 
#McMafia https://t.co/3X7YDsabMv",46
0.0,0.0,1.0,0.0,@BBC,Sun Jan 07 18:34:27 +0000 2018,@AndyHortin @CNNPolitics 🤣🤣@MSNBC @NBCNews @ABC @nytimesworld @nytimes @BBC @BBCWorld,47
0.8126,0.125,0.481,0.394,@BBC,Sun Jan 07 18:33:44 +0000 2018,"RT @chrismjmarsh: Good job for promoting animal cruelty @BBC and masquerading it as something else, good job. Outstanding journalism. Nothi…",48
0.0,0.0,1.0,0.0,@BBC,Sun Jan 07 18:33:33 +0000 2018,"RT @BBC: Tonight, David Attenborough attempts to animate the life of a 200-million-year-old ichthyosaur. 🌊 

Attenborough and the Sea Drago…",49
0.128,0.279,0.419,0.302,@BBC,Sun Jan 07 18:33:20 +0000 2018,"RT @BBC: The best, worst and weirdest #FACup fan fashion. ⚽️💅 https://t.co/hDEBwew84U https://t.co/1DMfVbC8oJ",50
0.6369,0.0,0.724,0.276,@BBC,Sun Jan 07 18:33:15 +0000 2018,RT @BBC: Budget Italian feasts the whole family will love. 🍝 https://t.co/MtSlOvp6m6 https://t.co/8fCY2ToBM6,51
0.0,0.0,1.0,0.0,@BBC,Sun Jan 07 18:33:11 +0000 2018,"RT @BBC: Tonight, David Attenborough attempts to animate the life of a 200-million-year-old ichthyosaur. 🌊 

Attenborough and the Sea Drago…",52
0.0,0.0,1.0,0.0,@BBC,Sun Jan 07 18:33:01 +0000 2018,"@Leahcimnosined @ariyana69 @BBC @A50Challenge https://t.co/5LYF7LQPkv

Chomsky sighs imperceptibly and as if explai… https://t.co/pPJoEy3IfS",53
0.4215,0.0,0.823,0.177,@BBC,Sun Jan 07 18:32:57 +0000 2018,"RT @BBC: What's the true scale of the global trade in humans? 
#McMafia https://t.co/3X7YDsabMv",54
0.0,0.0,1.0,0.0,@BBC,Sun Jan 07 18:32:46 +0000 2018,"RT @BBC: Tonight, David Attenborough attempts to animate the life of a 200-million-year-old ichthyosaur. 🌊 

Attenborough and the Sea Drago…",55
-0.5423,0.229,0.693,0.078,@BBC,Sun Jan 07 18:32:44 +0000 2018,"One Of The @BBC's Top Female Journalists Has Quit, Accusing The Corporation Of Having A ""Secretive And Illegal"" Pay… https://t.co/eXj9gvcvaO",56
0.0,0.0,1.0,0.0,@BBC,Sun Jan 07 18:32:44 +0000 2018,"RT @BBC: Tonight, David Attenborough attempts to animate the life of a 200-million-year-old ichthyosaur. 🌊 

Attenborough and the Sea Drago…",57
0.5994,0.0,0.647,0.353,@BBC,Sun Jan 07 18:32:38 +0000 2018,RT @BBC: Farewell 2017. Thank you for giving us this. 😂 https://t.co/tIUAzNnIUU,58
0.8654,0.103,0.476,0.421,@BBC,Sun Jan 07 18:32:31 +0000 2018,"@BBC @AndrewGrahamDix @GLocaOfficial Love #RomeUnpacked so much but PLEASE, PLEASE stop using @coldplay as your sou… https://t.co/EqcogGmdSS",59
0.0,0.0,1.0,0.0,@BBC,Sun Jan 07 18:32:25 +0000 2018,RT @CarlosEsparza26: A little trip down memory lane 🌎🔚 @BBC #WorldsEnd #season1 https://t.co/LUPs1gnzbV,60
0.4215,0.0,0.823,0.177,@BBC,Sun Jan 07 18:32:23 +0000 2018,"RT @BBC: What's the true scale of the global trade in humans? 
#McMafia https://t.co/3X7YDsabMv",61
0.0,0.0,1.0,0.0,@BBC,Sun Jan 07 18:32:18 +0000 2018,"RT @BBC: Tonight, David Attenborough attempts to animate the life of a 200-million-year-old ichthyosaur. 🌊 

Attenborough and the Sea Drago…",62
0.8271,0.087,0.557,0.355,@BBC,Sun Jan 07 18:31:45 +0000 2018,@BBC6Music @maryannehobbs @bbcmusic @BBC Would be great if Radio 6 play a few Ray Thomas sings in his honour a Moody Blues legend,63
0.3877,0.0,0.805,0.195,@BBC,Sun Jan 07 18:31:12 +0000 2018,@BBCCarrie @BBCWorld @BBCPolitics @bbcworldservice The level of detail required; can not be disputed. Really want t… https://t.co/iw4VSHZCLb,64
0.0,0.0,1.0,0.0,@BBC,Sun Jan 07 18:30:58 +0000 2018,@BBCScotland @BBC What do you think @domisatwit ...? 🤔,65
0.0258,0.131,0.695,0.174,@BBC,Sun Jan 07 18:30:46 +0000 2018,@tonyposnanski Yeah that was stupid. It would be cool if the media just circumvented trump and admin and just repor… https://t.co/fFE4WyGq4H,66
-0.1027,0.104,0.808,0.088,@BBC,Sun Jan 07 18:30:27 +0000 2018,@BBC There are only a few people in those huge factories that most works are done by machines. Then many people lose their jobs.,67
0.4215,0.0,0.823,0.177,@BBC,Sun Jan 07 18:30:07 +0000 2018,"RT @BBC: What's the true scale of the global trade in humans? 
#McMafia https://t.co/3X7YDsabMv",68
0.5267,0.0,0.595,0.405,@BBC,Sun Jan 07 18:29:40 +0000 2018,@BBCSimonMcCoy @BBC @TVVictoriaG @michaelbarratt fabulous pic,69
0.4588,0.0,0.824,0.176,@BBC,Sun Jan 07 18:29:33 +0000 2018,"@Grimderp @BBC @BBCSport Haha.
I think I vaguely remember him.
I can't wait until the Winter Olympics start.",70
0.4215,0.0,0.823,0.177,@BBC,Sun Jan 07 18:28:15 +0000 2018,"RT @BBC: What's the true scale of the global trade in humans? 
#McMafia https://t.co/3X7YDsabMv",71
0.5994,0.0,0.647,0.353,@BBC,Sun Jan 07 18:27:35 +0000 2018,RT @BBC: Farewell 2017. Thank you for giving us this. 😂 https://t.co/tIUAzNnIUU,72
0.1154,0.0,0.892,0.108,@BBC,Sun Jan 07 18:27:31 +0000 2018,"@BBC It was worth a watch once, but after twenty thirty times, move on",73
0.0,0.0,1.0,0.0,@BBC,Sun Jan 07 18:27:07 +0000 2018,"@BlaineCoughlan @BBC @bbcdoctorwho @DWTheFanShow @BBCOne @BBCTwo @bbcthree @BBCFOUR Mine is A Unearthly Child, The… https://t.co/tRVodJhpAf",74
0.0,0.0,1.0,0.0,@BBC,Sun Jan 07 18:26:38 +0000 2018,@BBC @CNN @CBS @guardiannews @nytimesworld @nytimes @DerSPIEGEL @France3tv @LaStampa @Le_Figaro @SkyNews if U want… https://t.co/cdpSf4nAj4,75
0.0,0.0,1.0,0.0,@BBC,Sun Jan 07 18:26:19 +0000 2018,RT @bct_tv: @AJEnglish @CNN @UN @VP @POTUS @FRANCE24 @africanews @BBC @Amaka_Ekwo @EmekaGift @mefonna @radiobiafralive @NkirukaNistoran @En…,76
-0.5106,0.155,0.845,0.0,@BBC,Sun Jan 07 18:26:13 +0000 2018,@BBC when I watch bbc1 on a sunday night I deel depressed and suicidle.  when I don't watch bbc 1 on a sunday night… https://t.co/ugPOe604aS,77
0.0,0.0,1.0,0.0,@BBC,Sun Jan 07 18:26:12 +0000 2018,@JaniceIche @BBC 🙌🏾🙌🏾🙌🏾 go you.,78
0.1027,0.139,0.696,0.165,@BBC,Sun Jan 07 18:25:22 +0000 2018,RT @davidjwbailey: Dear @BBC - Brexit is NOT inevitable. Stop saying it is. https://t.co/uYxM5bJAh3,79
0.7684,0.068,0.571,0.361,@BBC,Sun Jan 07 18:24:20 +0000 2018,"RT @seabisquick: @MockTheWeek @NLinnane @BBC Miss seeing him, but delighted he’s living his dream.",80
0.5859,0.0,0.787,0.213,@BBC,Sun Jan 07 18:23:58 +0000 2018,"RT @ms_d2016: @jeffrey_ventre @BBC @Vagabionda1 @thebattwoman @TheOrcaProject 💜💜 Blackfish is an amazing, very telling movie.",81
-0.7178,0.353,0.647,0.0,@BBC,Sun Jan 07 18:23:51 +0000 2018,"A DCI would not be living in that dump.
More poor @bbc research 
#HardSun",82
0.4404,0.0,0.888,0.112,@BBC,Sun Jan 07 18:23:08 +0000 2018,RT @RafaelMac7: Thanks to the @BBCScotland @BBCSport @BBC for all these English FA Cup games on BBC 1 Scotland. Can you tell me which Scott…,83
0.0,0.0,1.0,0.0,@BBC,Sun Jan 07 18:22:37 +0000 2018,"@AP
@guardian
@Independent
@thetimes
@Reuters
@washingtonpost
@afpfr
@BILD
@welt
@FAZ_Eil
@UKLabour
@Conservatives… https://t.co/3KTScfTDMu",84
0.0,0.0,1.0,0.0,@BBC,Sun Jan 07 18:22:17 +0000 2018,RT @rogersurfacings: @Yes2Pot @ABC @nbc @CBS @CNN @BBC @fox @cspan @KSRO  https://t.co/5tFn1d7E3p,85
-0.3612,0.2,0.8,0.0,@BBC,Sun Jan 07 18:21:57 +0000 2018,Crikey. Perhaps this might shake @BBC out of its apparent complacency on equal pay &amp; gender pay gap. Shouldn’t have… https://t.co/BME7pDNXoL,86
0.7684,0.075,0.522,0.403,@BBC,Sun Jan 07 18:20:59 +0000 2018,"@MockTheWeek @NLinnane @BBC Miss seeing him, but delighted he’s living his dream.",87
0.4404,0.0,0.791,0.209,@BBC,Sun Jan 07 18:20:34 +0000 2018,More than 230000 signaturas supporting @BBC @TheEconomist @CNN @FinancialTimes @USATODAY @Frankfurter… https://t.co/YF4uRe0ihN,88
0.0,0.0,1.0,0.0,@BBC,Sun Jan 07 18:19:14 +0000 2018,RT @frankobserver: #marr whilst interviewing Joe Wright....'I'm going to cast any @bbc neutrality to one side' &amp; he then goes on to attack…,89
0.4376,0.0,0.581,0.419,@BBC,Sun Jan 07 18:18:50 +0000 2018,@geribean87 @BBC @DoctorWhoLegacy Very cool!,90
0.0,0.0,1.0,0.0,@BBC,Sun Jan 07 18:18:44 +0000 2018,@LeeMorgan239 @ftobloke @carorosso17 @Liberate_UK @KitCatK @truencon @MarrShow @theresa_may @eddiemair @bbclaurak… https://t.co/nxOn50vReS,91
-0.4767,0.508,0.492,0.0,@BBC,Sun Jan 07 18:18:43 +0000 2018,@BBC For fucks sake?,92
0.0,0.0,1.0,0.0,@BBC,Sun Jan 07 18:17:50 +0000 2018,@IAmMrDexB @BlaineCoughlan @BBC @bbcdoctorwho @DWTheFanShow @BBCOne @BBCTwo @bbcthree @BBCFOUR Ahhh!!  I'm *always*… https://t.co/CZpyH9nwWy,93
0.0,0.0,1.0,0.0,@BBC,Sun Jan 07 18:17:48 +0000 2018,@BBC Obama had a part in human trafficing as did Hillary.,94
0.4215,0.0,0.823,0.177,@BBC,Sun Jan 07 18:17:45 +0000 2018,"RT @BBC: What's the true scale of the global trade in humans? 
#McMafia https://t.co/3X7YDsabMv",95
0.0,0.0,1.0,0.0,@BBC,Sun Jan 07 18:17:31 +0000 2018,@WSJ @WSJPlus @WSJbusiness @WSJbreakingnews @cnni @BBCNews @BBC @BBCWorld @BBCBreaking @bbcworldservice @FOXTV… https://t.co/o1UBYnewOS,96
0.0,0.0,1.0,0.0,@BBC,Sun Jan 07 18:17:31 +0000 2018,@BBC Billions😔,97
0.4995,0.0,0.872,0.128,@BBC,Sun Jan 07 18:17:02 +0000 2018,"@BBC Most recently in Houston TX where an Indian couple brought a maid over 2 yrs ago, pd her zero, had her work 20… https://t.co/l9Ol6OSto5",98
0.0,0.0,1.0,0.0,@BBC,Sun Jan 07 18:16:27 +0000 2018,"@BlaineCoughlan @BBC @bbcdoctorwho @DWTheFanShow @BBCOne @BBCTwo @bbcthree @BBCFOUR 1. The Daleks
2. Tomb of the Cy… https://t.co/7bucbvVFo3",99
0.5994,0.0,0.647,0.353,@BBC,Sun Jan 07 18:16:21 +0000 2018,RT @BBC: Farewell 2017. Thank you for giving us this. 😂 https://t.co/tIUAzNnIUU,100
0.0,0.0,1.0,0.0,@CNN,Sun Jan 07 18:41:14 +0000 2018,"@BhittaniKhannnn @ZaraHatKay_Dawn @cnni @CNN @HalaGorani @AlJazeera 
@BBCWorld 

guys does anyone know about this ?
whats going on ?",1
-0.296,0.102,0.803,0.095,@CNN,Sun Jan 07 18:41:14 +0000 2018,@theneedle7 @CNN Quit watching CNN if you want to see an interview or keep watching if you want to see a preening jackass read an editorial.,2
0.0,0.0,1.0,0.0,@CNN,Sun Jan 07 18:41:13 +0000 2018,@Saphina77 @surfermom77 @AmericanVoterUS @realDonaldTrump @CNN @POTUS How much were they paid by GPS Fusion?,3
0.4939,0.092,0.704,0.204,@CNN,Sun Jan 07 18:41:13 +0000 2018,Iran was on the right side of History by supporting the iraqi army against ISIS (Muslim Nazis) the fight was good v… https://t.co/4vFL2sX37L,4
0.0,0.0,1.0,0.0,@CNN,Sun Jan 07 18:41:13 +0000 2018,@AprilDRyan @CNN Rather watch🏈🏈🏈🏈HOW MUCH MORE CAN B SAID...#SOS,5
